payout_id,payout_date,gross_sales,processing_fees,refunds,net_payout,orders
PO0001,2025-01-04,9565.51,277.4,163.0,9125.11,101
PO0003,2025-01-13,11306.1,327.88,617.58,10360.64,116
PO0005,2025-01-22,11723.65,339.99,255.42,11128.24,114
PO0007,2025-01-30,6125.23,177.63,316.38,5631.22,64
PO0009,2025-02-05,9683.6,280.82,206.39,9196.39,104
PO0011,2025-02-12,6505.31,188.65,309.4,6007.26,63
PO0013,2025-02-21,11205.35,324.96,460.45,10419.94,119
PO0015,2025-02-27,6822.89,197.86,175.16,6449.87,74
PO0017,2025-03-04,8972.99,260.22,235.74,8477.03,90
PO0019,2025-03-09,5807.51,168.42,230.02,5409.07,57
PO0021,2025-03-14,5643.67,163.67,303.48,5176.52,59
PO0023,2025-03-23,7595.1,220.26,239.37,7135.47,73
PO0025,2025-03-28,6201.23,179.84,249.78,5771.61,61
